,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Man City,38,98,95,23,72,683,17.973684210526315
1,Liverpool,38,97,89,22,67,574,15.105263157894736
2,Chelsea,38,72,63,39,24,606,15.947368421052632
3,Tottenham,38,71,67,39,28,536,14.105263157894736
4,Arsenal,38,70,73,51,22,466,12.263157894736842
5,Man United,38,66,65,54,11,526,13.842105263157896
6,Wolves,38,57,47,46,1,474,12.473684210526315
7,Everton,38,54,54,46,8,495,13.026315789473685
8,Leicester,38,52,51,48,3,515,13.552631578947368
9,West Ham,38,52,52,55,-3,441,11.605263157894736
10,Watford,38,50,52,59,-7,434,11.421052631578947
11,Crystal Palace,38,49,51,53,-2,491,12.921052631578947
12,Newcastle,38,45,42,48,-6,444,11.68421052631579
13,Bournemouth,38,45,56,70,-14,447,11.763157894736842
14,Burnley,38,40,45,68,-23,359,9.447368421052632
15,Southampton,38,39,45,65,-20,480,12.631578947368421
16,Brighton,38,36,35,60,-25,365,9.605263157894736
17,Cardiff,38,34,34,69,-35,417,10.973684210526315
18,Fulham,38,26,34,81,-47,453,11.921052631578947
19,Huddersfield,38,16,22,76,-54,400,10.526315789473685
