,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Chelsea,38,87,73.0,32.0,41.0,563.0,14.81578947368421
1,Man City,38,79,83.0,38.0,45.0,668.0,17.57894736842105
2,Arsenal,38,75,71.0,36.0,35.0,612.0,16.105263157894736
3,Man United,38,70,62.0,37.0,25.0,509.0,13.394736842105264
4,Tottenham,38,64,58.0,53.0,5.0,524.0,13.789473684210526
5,Liverpool,38,62,52.0,48.0,4.0,590.0,15.526315789473685
6,Southampton,38,60,54.0,33.0,21.0,506.0,13.31578947368421
7,Swansea,38,56,46.0,49.0,-3.0,422.0,11.105263157894736
8,Stoke,38,54,48.0,45.0,3.0,501.0,13.18421052631579
9,Crystal Palace,38,48,47.0,51.0,-4.0,438.0,11.526315789473685
10,Everton,38,47,48.0,50.0,-2.0,484.0,12.736842105263158
11,West Ham,38,47,44.0,47.0,-3.0,485.0,12.763157894736842
12,West Brom,38,44,38.0,51.0,-13.0,411.0,10.81578947368421
13,Leicester,38,41,46.0,55.0,-9.0,457.0,12.026315789473685
14,Newcastle,38,39,40.0,63.0,-23.0,467.0,12.289473684210526
15,Sunderland,38,38,31.0,53.0,-22.0,404.0,10.631578947368421
16,Aston Villa,38,38,31.0,57.0,-26.0,414.0,10.894736842105264
17,Hull,38,35,33.0,51.0,-18.0,429.0,11.289473684210526
18,Burnley,38,33,28.0,53.0,-25.0,429.0,11.289473684210526
19,QPR,38,30,42.0,73.0,-31.0,533.0,14.026315789473685
20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
